episode 1 of 100000 complete,  explore val = 0.01, episode reward = 134.0, ave reward = 134.0, sim time = 0.565, fit time = 0.742, episode_time = 1.307
episode 2739 of 100000 complete,  explore val = 0.01, episode reward = 71.2, ave reward = 100.5, sim time = 0.225, fit time = 0.0, episode_time = 0.225
episode 2740 of 100000 complete,  explore val = 0.01, episode reward = 342.2, ave reward = 98.2, sim time = 0.385, fit time = 0.0, episode_time = 0.385
episode 2741 of 100000 complete,  explore val = 0.01, episode reward = -49.4, ave reward = 99.8, sim time = 0.253, fit time = 6.9, episode_time = 7.153
episode 2742 of 100000 complete,  explore val = 0.01, episode reward = 495.4, ave reward = 102.4, sim time = 0.416, fit time = 0.0, episode_time = 0.417
episode 2743 of 100000 complete,  explore val = 0.01, episode reward = 225.7, ave reward = 106.6, sim time = 0.322, fit time = 0.0, episode_time = 0.322
episode 2744 of 100000 complete,  explore val = 0.01, episode reward = 11.5, ave reward = 108.6, sim time = 0.225, fit time = 0.0, episode_time = 0.225
episode 2745 of 100000 complete,  explore val = 0.01, episode reward = -35.3, ave reward = 107.9, sim time = 0.238, fit time = 0.0, episode_time = 0.238
episode 2746 of 100000 complete,  explore val = 0.01, episode reward = 158.4, ave reward = 106.6, sim time = 0.272, fit time = 0.0, episode_time = 0.272
episode 2747 of 100000 complete,  explore val = 0.01, episode reward = 71.1, ave reward = 106.1, sim time = 0.273, fit time = 0.0, episode_time = 0.273
episode 2748 of 100000 complete,  explore val = 0.01, episode reward = 366.4, ave reward = 108.3, sim time = 0.367, fit time = 0.0, episode_time = 0.367
episode 2749 of 100000 complete,  explore val = 0.01, episode reward = 102.7, ave reward = 109.6, sim time = 0.245, fit time = 0.0, episode_time = 0.245
episode 2750 of 100000 complete,  explore val = 0.01, episode reward = 285.8, ave reward = 111.0, sim time = 0.294, fit time = 0.0, episode_time = 0.294
episode 2751 of 100000 complete,  explore val = 0.01, episode reward = 275.1, ave reward = 113.3, sim time = 0.338, fit time = 7.45, episode_time = 7.788
episode 2752 of 100000 complete,  explore val = 0.01, episode reward = 137.3, ave reward = 114.7, sim time = 0.282, fit time = 0.0, episode_time = 0.282
episode 2753 of 100000 complete,  explore val = 0.01, episode reward = 356.8, ave reward = 114.3, sim time = 0.386, fit time = 0.0, episode_time = 0.386
episode 2754 of 100000 complete,  explore val = 0.01, episode reward = 106.3, ave reward = 116.1, sim time = 0.263, fit time = 0.0, episode_time = 0.263
episode 2755 of 100000 complete,  explore val = 0.01, episode reward = 150.6, ave reward = 115.8, sim time = 0.275, fit time = 0.0, episode_time = 0.276
episode 2756 of 100000 complete,  explore val = 0.01, episode reward = -12.8, ave reward = 116.5, sim time = 0.263, fit time = 0.0, episode_time = 0.263
episode 2757 of 100000 complete,  explore val = 0.01, episode reward = -56.8, ave reward = 114.8, sim time = 0.205, fit time = 0.0, episode_time = 0.205
episode 2758 of 100000 complete,  explore val = 0.01, episode reward = 230.5, ave reward = 110.9, sim time = 0.334, fit time = 0.0, episode_time = 0.334
episode 2759 of 100000 complete,  explore val = 0.01, episode reward = 105.5, ave reward = 113.7, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 2760 of 100000 complete,  explore val = 0.01, episode reward = 12.7, ave reward = 114.1, sim time = 0.263, fit time = 0.0, episode_time = 0.262
episode 2761 of 100000 complete,  explore val = 0.01, episode reward = 380.4, ave reward = 114.0, sim time = 0.401, fit time = 7.367, episode_time = 7.768
episode 2762 of 100000 complete,  explore val = 0.01, episode reward = 227.4, ave reward = 120.4, sim time = 0.363, fit time = 0.0, episode_time = 0.363
episode 2763 of 100000 complete,  explore val = 0.01, episode reward = -59.5, ave reward = 118.8, sim time = 0.301, fit time = 0.0, episode_time = 0.301
episode 2764 of 100000 complete,  explore val = 0.01, episode reward = 202.7, ave reward = 116.6, sim time = 0.296, fit time = 0.0, episode_time = 0.296
episode 2765 of 100000 complete,  explore val = 0.01, episode reward = 203.4, ave reward = 117.8, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2766 of 100000 complete,  explore val = 0.01, episode reward = -207.3, ave reward = 117.8, sim time = 0.31, fit time = 0.0, episode_time = 0.31
episode 2767 of 100000 complete,  explore val = 0.01, episode reward = 381.1, ave reward = 113.5, sim time = 0.377, fit time = 0.0, episode_time = 0.377
episode 2768 of 100000 complete,  explore val = 0.01, episode reward = 262.8, ave reward = 113.4, sim time = 0.326, fit time = 0.0, episode_time = 0.326
episode 2769 of 100000 complete,  explore val = 0.01, episode reward = 178.7, ave reward = 115.1, sim time = 0.277, fit time = 0.0, episode_time = 0.277
episode 2770 of 100000 complete,  explore val = 0.01, episode reward = 228.8, ave reward = 117.5, sim time = 0.258, fit time = 0.0, episode_time = 0.259
episode 2771 of 100000 complete,  explore val = 0.01, episode reward = 173.4, ave reward = 119.6, sim time = 0.287, fit time = 7.644, episode_time = 7.932
episode 2772 of 100000 complete,  explore val = 0.01, episode reward = 33.4, ave reward = 121.1, sim time = 0.286, fit time = 0.0, episode_time = 0.286
episode 2773 of 100000 complete,  explore val = 0.01, episode reward = 30.6, ave reward = 117.9, sim time = 0.246, fit time = 0.0, episode_time = 0.246
episode 2774 of 100000 complete,  explore val = 0.01, episode reward = 147.8, ave reward = 116.9, sim time = 0.335, fit time = 0.0, episode_time = 0.335
episode 2775 of 100000 complete,  explore val = 0.01, episode reward = 98.8, ave reward = 120.9, sim time = 0.249, fit time = 0.0, episode_time = 0.249
episode 2776 of 100000 complete,  explore val = 0.01, episode reward = 175.7, ave reward = 119.7, sim time = 0.367, fit time = 0.0, episode_time = 0.367
episode 2777 of 100000 complete,  explore val = 0.01, episode reward = 175.6, ave reward = 121.2, sim time = 0.381, fit time = 0.0, episode_time = 0.381
episode 2778 of 100000 complete,  explore val = 0.01, episode reward = 80.1, ave reward = 122.4, sim time = 0.24, fit time = 0.001, episode_time = 0.241
episode 2779 of 100000 complete,  explore val = 0.01, episode reward = 52.2, ave reward = 122.7, sim time = 0.438, fit time = 0.0, episode_time = 0.439
episode 2780 of 100000 complete,  explore val = 0.01, episode reward = 70.1, ave reward = 119.3, sim time = 0.219, fit time = 0.0, episode_time = 0.219
episode 2781 of 100000 complete,  explore val = 0.01, episode reward = 98.6, ave reward = 122.4, sim time = 0.263, fit time = 7.526, episode_time = 7.789
episode 2782 of 100000 complete,  explore val = 0.01, episode reward = 248.2, ave reward = 122.6, sim time = 0.325, fit time = 0.0, episode_time = 0.325
episode 2783 of 100000 complete,  explore val = 0.01, episode reward = 85.9, ave reward = 123.9, sim time = 0.28, fit time = 0.0, episode_time = 0.28
episode 2784 of 100000 complete,  explore val = 0.01, episode reward = 174.8, ave reward = 122.4, sim time = 0.283, fit time = 0.0, episode_time = 0.283
episode 2785 of 100000 complete,  explore val = 0.01, episode reward = 334.5, ave reward = 123.5, sim time = 0.343, fit time = 0.0, episode_time = 0.343
episode 2786 of 100000 complete,  explore val = 0.01, episode reward = 214.4, ave reward = 125.6, sim time = 0.297, fit time = 0.0, episode_time = 0.297
episode 2787 of 100000 complete,  explore val = 0.01, episode reward = 33.1, ave reward = 127.4, sim time = 0.274, fit time = 0.0, episode_time = 0.274
episode 2788 of 100000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 126.6, sim time = 0.218, fit time = 0.0, episode_time = 0.218
episode 2789 of 100000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 125.3, sim time = 0.265, fit time = 0.0, episode_time = 0.265
episode 2790 of 100000 complete,  explore val = 0.01, episode reward = -24.3, ave reward = 122.0, sim time = 0.234, fit time = 0.0, episode_time = 0.234
episode 2791 of 100000 complete,  explore val = 0.01, episode reward = -175.7, ave reward = 119.9, sim time = 0.291, fit time = 7.288, episode_time = 7.579
episode 2792 of 100000 complete,  explore val = 0.01, episode reward = 250.1, ave reward = 120.0, sim time = 0.44, fit time = 0.0, episode_time = 0.44
episode 2793 of 100000 complete,  explore val = 0.01, episode reward = 109.4, ave reward = 122.3, sim time = 0.242, fit time = 0.0, episode_time = 0.242
episode 2794 of 100000 complete,  explore val = 0.01, episode reward = 32.1, ave reward = 122.5, sim time = 0.189, fit time = 0.0, episode_time = 0.189
episode 2795 of 100000 complete,  explore val = 0.01, episode reward = 111.7, ave reward = 122.3, sim time = 0.258, fit time = 0.0, episode_time = 0.259
episode 2796 of 100000 complete,  explore val = 0.01, episode reward = 138.9, ave reward = 123.4, sim time = 0.332, fit time = 0.0, episode_time = 0.332
episode 2797 of 100000 complete,  explore val = 0.01, episode reward = 73.3, ave reward = 124.2, sim time = 0.233, fit time = 0.0, episode_time = 0.233
episode 2798 of 100000 complete,  explore val = 0.01, episode reward = 255.3, ave reward = 124.3, sim time = 0.334, fit time = 0.0, episode_time = 0.334
episode 2799 of 100000 complete,  explore val = 0.01, episode reward = 68.8, ave reward = 126.6, sim time = 0.246, fit time = 0.0, episode_time = 0.246
episode 2800 of 100000 complete,  explore val = 0.01, episode reward = -235.2, ave reward = 127.1, sim time = 0.234, fit time = 0.0, episode_time = 0.234
episode 2801 of 100000 complete,  explore val = 0.01, episode reward = 124.3, ave reward = 127.5, sim time = 0.3, fit time = 6.827, episode_time = 7.128
episode 2802 of 100000 complete,  explore val = 0.01, episode reward = 357.0, ave reward = 128.4, sim time = 0.419, fit time = 0.0, episode_time = 0.419
episode 2803 of 100000 complete,  explore val = 0.01, episode reward = -3.7, ave reward = 130.4, sim time = 0.257, fit time = 0.0, episode_time = 0.257
episode 2804 of 100000 complete,  explore val = 0.01, episode reward = -238.0, ave reward = 129.7, sim time = 0.278, fit time = 0.0, episode_time = 0.278
episode 2805 of 100000 complete,  explore val = 0.01, episode reward = 117.4, ave reward = 120.3, sim time = 0.335, fit time = 0.0, episode_time = 0.335
episode 2806 of 100000 complete,  explore val = 0.01, episode reward = 184.9, ave reward = 121.2, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2807 of 100000 complete,  explore val = 0.01, episode reward = 94.3, ave reward = 121.1, sim time = 0.258, fit time = 0.0, episode_time = 0.258
episode 2808 of 100000 complete,  explore val = 0.01, episode reward = 79.2, ave reward = 121.2, sim time = 0.282, fit time = 0.0, episode_time = 0.282
episode 2809 of 100000 complete,  explore val = 0.01, episode reward = 117.1, ave reward = 120.0, sim time = 0.256, fit time = 0.0, episode_time = 0.256
episode 2810 of 100000 complete,  explore val = 0.01, episode reward = 271.5, ave reward = 119.5, sim time = 0.303, fit time = 0.0, episode_time = 0.303
episode 2811 of 100000 complete,  explore val = 0.01, episode reward = 106.1, ave reward = 121.4, sim time = 0.217, fit time = 7.159, episode_time = 7.376
episode 2812 of 100000 complete,  explore val = 0.01, episode reward = 215.4, ave reward = 122.6, sim time = 0.338, fit time = 0.0, episode_time = 0.338
episode 2813 of 100000 complete,  explore val = 0.01, episode reward = -87.7, ave reward = 123.1, sim time = 0.184, fit time = 0.0, episode_time = 0.184
episode 2814 of 100000 complete,  explore val = 0.01, episode reward = 32.6, ave reward = 122.3, sim time = 0.271, fit time = 0.0, episode_time = 0.271
episode 2815 of 100000 complete,  explore val = 0.01, episode reward = 232.5, ave reward = 120.9, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2816 of 100000 complete,  explore val = 0.01, episode reward = -23.2, ave reward = 122.0, sim time = 0.285, fit time = 0.0, episode_time = 0.285
episode 2817 of 100000 complete,  explore val = 0.01, episode reward = 18.2, ave reward = 120.4, sim time = 0.301, fit time = 0.0, episode_time = 0.301
episode 2818 of 100000 complete,  explore val = 0.01, episode reward = 136.5, ave reward = 119.0, sim time = 0.349, fit time = 0.0, episode_time = 0.349
episode 2819 of 100000 complete,  explore val = 0.01, episode reward = -81.0, ave reward = 117.2, sim time = 0.229, fit time = 0.0, episode_time = 0.229
episode 2820 of 100000 complete,  explore val = 0.01, episode reward = 444.0, ave reward = 115.5, sim time = 0.429, fit time = 0.0, episode_time = 0.429
episode 2821 of 100000 complete,  explore val = 0.01, episode reward = 50.1, ave reward = 118.3, sim time = 0.207, fit time = 7.029, episode_time = 7.237
episode 2822 of 100000 complete,  explore val = 0.01, episode reward = 110.1, ave reward = 115.4, sim time = 0.235, fit time = 0.0, episode_time = 0.236
episode 2823 of 100000 complete,  explore val = 0.01, episode reward = 100.7, ave reward = 113.5, sim time = 0.223, fit time = 0.0, episode_time = 0.223
episode 2824 of 100000 complete,  explore val = 0.01, episode reward = 166.6, ave reward = 113.1, sim time = 0.271, fit time = 0.0, episode_time = 0.271
episode 2825 of 100000 complete,  explore val = 0.01, episode reward = -74.6, ave reward = 114.3, sim time = 0.328, fit time = 0.0, episode_time = 0.328
episode 2826 of 100000 complete,  explore val = 0.01, episode reward = 177.4, ave reward = 111.1, sim time = 0.389, fit time = 0.0, episode_time = 0.389
episode 2827 of 100000 complete,  explore val = 0.01, episode reward = 196.3, ave reward = 114.8, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2828 of 100000 complete,  explore val = 0.01, episode reward = 94.2, ave reward = 116.7, sim time = 0.287, fit time = 0.0, episode_time = 0.287
episode 2829 of 100000 complete,  explore val = 0.01, episode reward = 75.9, ave reward = 115.1, sim time = 0.211, fit time = 0.0, episode_time = 0.211
episode 2830 of 100000 complete,  explore val = 0.01, episode reward = 118.8, ave reward = 116.4, sim time = 0.243, fit time = 0.0, episode_time = 0.243
episode 2831 of 100000 complete,  explore val = 0.01, episode reward = 168.2, ave reward = 116.6, sim time = 0.277, fit time = 7.284, episode_time = 7.561
episode 2832 of 100000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 118.9, sim time = 0.228, fit time = 0.0, episode_time = 0.228
episode 2833 of 100000 complete,  explore val = 0.01, episode reward = 141.5, ave reward = 119.7, sim time = 0.262, fit time = 0.0, episode_time = 0.262
episode 2834 of 100000 complete,  explore val = 0.01, episode reward = 95.9, ave reward = 119.8, sim time = 0.253, fit time = 0.0, episode_time = 0.253
episode 2835 of 100000 complete,  explore val = 0.01, episode reward = 51.6, ave reward = 118.6, sim time = 0.281, fit time = 0.0, episode_time = 0.281
episode 2836 of 100000 complete,  explore val = 0.01, episode reward = 236.5, ave reward = 118.6, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2837 of 100000 complete,  explore val = 0.01, episode reward = 81.9, ave reward = 120.0, sim time = 0.381, fit time = 0.0, episode_time = 0.381
episode 2838 of 100000 complete,  explore val = 0.01, episode reward = 106.6, ave reward = 119.4, sim time = 0.265, fit time = 0.0, episode_time = 0.265
episode 2839 of 100000 complete,  explore val = 0.01, episode reward = 17.4, ave reward = 120.6, sim time = 0.239, fit time = 0.0, episode_time = 0.239
episode 2840 of 100000 complete,  explore val = 0.01, episode reward = 39.2, ave reward = 120.1, sim time = 0.208, fit time = 0.0, episode_time = 0.208
episode 2841 of 100000 complete,  explore val = 0.01, episode reward = -276.8, ave reward = 117.1, sim time = 0.235, fit time = 6.578, episode_time = 6.815
episode 2842 of 100000 complete,  explore val = 0.01, episode reward = 230.4, ave reward = 114.8, sim time = 0.33, fit time = 0.0, episode_time = 0.33
episode 2843 of 100000 complete,  explore val = 0.01, episode reward = 238.1, ave reward = 112.1, sim time = 0.346, fit time = 0.0, episode_time = 0.346
episode 2844 of 100000 complete,  explore val = 0.01, episode reward = 284.4, ave reward = 112.3, sim time = 0.33, fit time = 0.0, episode_time = 0.33
episode 2845 of 100000 complete,  explore val = 0.01, episode reward = -177.4, ave reward = 115.0, sim time = 0.236, fit time = 0.0, episode_time = 0.236
episode 2846 of 100000 complete,  explore val = 0.01, episode reward = 703.6, ave reward = 113.6, sim time = 0.402, fit time = 0.0, episode_time = 0.402
episode 2847 of 100000 complete,  explore val = 0.01, episode reward = 301.9, ave reward = 119.0, sim time = 0.368, fit time = 0.0, episode_time = 0.368
episode 2848 of 100000 complete,  explore val = 0.01, episode reward = -27.0, ave reward = 121.3, sim time = 0.345, fit time = 0.0, episode_time = 0.345
episode 2849 of 100000 complete,  explore val = 0.01, episode reward = 569.8, ave reward = 117.4, sim time = 0.381, fit time = 0.0, episode_time = 0.382
episode 2850 of 100000 complete,  explore val = 0.01, episode reward = 243.6, ave reward = 122.1, sim time = 0.356, fit time = 0.0, episode_time = 0.356
episode 2851 of 100000 complete,  explore val = 0.01, episode reward = -64.2, ave reward = 121.6, sim time = 0.245, fit time = 7.69, episode_time = 7.936
episode 2852 of 100000 complete,  explore val = 0.01, episode reward = 22.5, ave reward = 118.3, sim time = 0.294, fit time = 0.0, episode_time = 0.294
episode 2853 of 100000 complete,  explore val = 0.01, episode reward = 161.2, ave reward = 117.1, sim time = 0.288, fit time = 0.0, episode_time = 0.288
episode 2854 of 100000 complete,  explore val = 0.01, episode reward = 492.4, ave reward = 115.2, sim time = 0.465, fit time = 0.0, episode_time = 0.465
episode 2855 of 100000 complete,  explore val = 0.01, episode reward = -141.7, ave reward = 119.0, sim time = 0.234, fit time = 0.0, episode_time = 0.234
episode 2856 of 100000 complete,  explore val = 0.01, episode reward = -135.5, ave reward = 116.1, sim time = 0.298, fit time = 0.0, episode_time = 0.298
episode 2857 of 100000 complete,  explore val = 0.01, episode reward = 45.6, ave reward = 114.9, sim time = 0.185, fit time = 0.0, episode_time = 0.185
episode 2858 of 100000 complete,  explore val = 0.01, episode reward = 101.8, ave reward = 115.9, sim time = 0.37, fit time = 0.0, episode_time = 0.37
episode 2859 of 100000 complete,  explore val = 0.01, episode reward = -60.0, ave reward = 114.6, sim time = 0.315, fit time = 0.0, episode_time = 0.315
episode 2860 of 100000 complete,  explore val = 0.01, episode reward = 130.2, ave reward = 112.9, sim time = 0.273, fit time = 0.0, episode_time = 0.273
episode 2861 of 100000 complete,  explore val = 0.01, episode reward = 253.2, ave reward = 114.1, sim time = 0.368, fit time = 8.138, episode_time = 8.507
episode 2862 of 100000 complete,  explore val = 0.01, episode reward = 863.4, ave reward = 112.8, sim time = 0.461, fit time = 0.0, episode_time = 0.461
episode 2863 of 100000 complete,  explore val = 0.01, episode reward = 512.4, ave reward = 119.2, sim time = 0.362, fit time = 0.0, episode_time = 0.362
episode 2864 of 100000 complete,  explore val = 0.01, episode reward = -232.6, ave reward = 124.9, sim time = 0.323, fit time = 0.0, episode_time = 0.323
episode 2865 of 100000 complete,  explore val = 0.01, episode reward = 170.1, ave reward = 120.6, sim time = 0.229, fit time = 0.0, episode_time = 0.229
episode 2866 of 100000 complete,  explore val = 0.01, episode reward = 246.1, ave reward = 120.2, sim time = 0.322, fit time = 0.0, episode_time = 0.322
episode 2867 of 100000 complete,  explore val = 0.01, episode reward = 202.9, ave reward = 124.8, sim time = 0.252, fit time = 0.0, episode_time = 0.252
episode 2868 of 100000 complete,  explore val = 0.01, episode reward = 556.2, ave reward = 123.0, sim time = 0.369, fit time = 0.0, episode_time = 0.368
episode 2869 of 100000 complete,  explore val = 0.01, episode reward = 127.8, ave reward = 125.9, sim time = 0.363, fit time = 0.0, episode_time = 0.363
episode 2870 of 100000 complete,  explore val = 0.01, episode reward = 633.9, ave reward = 125.4, sim time = 0.455, fit time = 0.0, episode_time = 0.455
episode 2871 of 100000 complete,  explore val = 0.01, episode reward = 172.3, ave reward = 129.5, sim time = 0.26, fit time = 8.4, episode_time = 8.66
episode 2872 of 100000 complete,  explore val = 0.01, episode reward = 280.1, ave reward = 129.5, sim time = 0.343, fit time = 0.0, episode_time = 0.343
episode 2873 of 100000 complete,  explore val = 0.01, episode reward = 214.2, ave reward = 131.9, sim time = 0.334, fit time = 0.0, episode_time = 0.334
episode 2874 of 100000 complete,  explore val = 0.01, episode reward = 116.4, ave reward = 133.8, sim time = 0.251, fit time = 0.0, episode_time = 0.251
episode 2875 of 100000 complete,  explore val = 0.01, episode reward = 229.8, ave reward = 133.4, sim time = 0.308, fit time = 0.0, episode_time = 0.309
episode 2876 of 100000 complete,  explore val = 0.01, episode reward = 258.9, ave reward = 134.8, sim time = 0.326, fit time = 0.0, episode_time = 0.326
episode 2877 of 100000 complete,  explore val = 0.01, episode reward = 308.5, ave reward = 135.6, sim time = 0.308, fit time = 0.0, episode_time = 0.308
episode 2878 of 100000 complete,  explore val = 0.01, episode reward = 439.4, ave reward = 136.9, sim time = 0.379, fit time = 0.0, episode_time = 0.379
episode 2879 of 100000 complete,  explore val = 0.01, episode reward = 252.4, ave reward = 140.5, sim time = 0.334, fit time = 0.0, episode_time = 0.335
episode 2880 of 100000 complete,  explore val = 0.01, episode reward = 85.9, ave reward = 142.5, sim time = 0.261, fit time = 0.0, episode_time = 0.261
episode 2881 of 100000 complete,  explore val = 0.01, episode reward = -34.1, ave reward = 142.7, sim time = 0.25, fit time = 8.164, episode_time = 8.415
episode 2882 of 100000 complete,  explore val = 0.01, episode reward = 36.8, ave reward = 141.3, sim time = 0.241, fit time = 0.0, episode_time = 0.241
episode 2883 of 100000 complete,  explore val = 0.01, episode reward = 30.9, ave reward = 139.2, sim time = 0.224, fit time = 0.0, episode_time = 0.224
episode 2884 of 100000 complete,  explore val = 0.01, episode reward = 50.4, ave reward = 138.7, sim time = 0.242, fit time = 0.0, episode_time = 0.242
episode 2885 of 100000 complete,  explore val = 0.01, episode reward = 196.4, ave reward = 137.4, sim time = 0.275, fit time = 0.0, episode_time = 0.275
episode 2886 of 100000 complete,  explore val = 0.01, episode reward = -39.6, ave reward = 136.1, sim time = 0.288, fit time = 0.0, episode_time = 0.288
episode 2887 of 100000 complete,  explore val = 0.01, episode reward = -222.3, ave reward = 133.5, sim time = 0.232, fit time = 0.0, episode_time = 0.233
episode 2888 of 100000 complete,  explore val = 0.01, episode reward = 225.7, ave reward = 131.0, sim time = 0.335, fit time = 0.0, episode_time = 0.335
episode 2889 of 100000 complete,  explore val = 0.01, episode reward = -32.9, ave reward = 132.7, sim time = 0.263, fit time = 0.0, episode_time = 0.263
episode 2890 of 100000 complete,  explore val = 0.01, episode reward = -136.4, ave reward = 132.1, sim time = 0.294, fit time = 0.0, episode_time = 0.294
episode 2891 of 100000 complete,  explore val = 0.01, episode reward = 124.5, ave reward = 131.0, sim time = 0.248, fit time = 6.865, episode_time = 7.113
episode 2892 of 100000 complete,  explore val = 0.01, episode reward = 406.5, ave reward = 134.0, sim time = 0.417, fit time = 0.0, episode_time = 0.417
episode 2893 of 100000 complete,  explore val = 0.01, episode reward = 103.3, ave reward = 135.5, sim time = 0.251, fit time = 0.0, episode_time = 0.251
episode 2894 of 100000 complete,  explore val = 0.01, episode reward = 319.1, ave reward = 135.5, sim time = 0.34, fit time = 0.0, episode_time = 0.34
episode 2895 of 100000 complete,  explore val = 0.01, episode reward = 215.3, ave reward = 138.3, sim time = 0.335, fit time = 0.0, episode_time = 0.335
episode 2896 of 100000 complete,  explore val = 0.01, episode reward = 407.0, ave reward = 139.4, sim time = 0.372, fit time = 0.0, episode_time = 0.372
episode 2897 of 100000 complete,  explore val = 0.01, episode reward = 136.0, ave reward = 142.1, sim time = 0.31, fit time = 0.0, episode_time = 0.31
episode 2898 of 100000 complete,  explore val = 0.01, episode reward = -17.2, ave reward = 142.7, sim time = 0.349, fit time = 0.0, episode_time = 0.349
episode 2899 of 100000 complete,  explore val = 0.01, episode reward = 193.3, ave reward = 140.0, sim time = 0.279, fit time = 0.0, episode_time = 0.279
episode 2900 of 100000 complete,  explore val = 0.01, episode reward = 287.8, ave reward = 141.2, sim time = 0.353, fit time = 0.0, episode_time = 0.353
episode 2901 of 100000 complete,  explore val = 0.01, episode reward = 86.2, ave reward = 146.4, sim time = 0.207, fit time = 7.678, episode_time = 7.887
episode 2902 of 100000 complete,  explore val = 0.01, episode reward = 32.4, ave reward = 146.1, sim time = 0.057, fit time = 0.0, episode_time = 0.057
episode 2903 of 100000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 142.8, sim time = 0.053, fit time = 0.0, episode_time = 0.053
episode 2904 of 100000 complete,  explore val = 0.01, episode reward = 27.1, ave reward = 143.0, sim time = 0.052, fit time = 0.0, episode_time = 0.052
episode 2905 of 100000 complete,  explore val = 0.01, episode reward = 8.6, ave reward = 145.7, sim time = 0.05, fit time = 0.0, episode_time = 0.05
episode 2906 of 100000 complete,  explore val = 0.01, episode reward = 11.5, ave reward = 144.6, sim time = 0.046, fit time = 0.0, episode_time = 0.046
episode 2907 of 100000 complete,  explore val = 0.01, episode reward = 30.8, ave reward = 142.9, sim time = 0.051, fit time = 0.0, episode_time = 0.052
episode 2908 of 100000 complete,  explore val = 0.01, episode reward = 13.9, ave reward = 142.2, sim time = 0.04, fit time = 0.0, episode_time = 0.04
episode 2909 of 100000 complete,  explore val = 0.01, episode reward = 21.8, ave reward = 141.6, sim time = 0.059, fit time = 0.0, episode_time = 0.059
episode 2910 of 100000 complete,  explore val = 0.01, episode reward = 2.0, ave reward = 140.6, sim time = 0.048, fit time = 0.0, episode_time = 0.048
episode 2911 of 100000 complete,  explore val = 0.01, episode reward = 24.6, ave reward = 137.9, sim time = 0.05, fit time = 3.361, episode_time = 3.411
episode 2912 of 100000 complete,  explore val = 0.01, episode reward = 133.6, ave reward = 137.1, sim time = 0.304, fit time = 0.0, episode_time = 0.304
episode 2913 of 100000 complete,  explore val = 0.01, episode reward = 173.7, ave reward = 136.3, sim time = 0.269, fit time = 0.0, episode_time = 0.269
episode 2914 of 100000 complete,  explore val = 0.01, episode reward = -7.1, ave reward = 138.9, sim time = 0.225, fit time = 0.0, episode_time = 0.225
episode 2915 of 100000 complete,  explore val = 0.01, episode reward = 247.1, ave reward = 138.5, sim time = 0.339, fit time = 0.0, episode_time = 0.34
episode 2916 of 100000 complete,  explore val = 0.01, episode reward = -76.4, ave reward = 138.6, sim time = 0.326, fit time = 0.0, episode_time = 0.326
episode 2917 of 100000 complete,  explore val = 0.01, episode reward = -15.7, ave reward = 138.1, sim time = 0.327, fit time = 0.0, episode_time = 0.327
episode 2918 of 100000 complete,  explore val = 0.01, episode reward = -44.2, ave reward = 137.8, sim time = 0.218, fit time = 0.0, episode_time = 0.219
episode 2919 of 100000 complete,  explore val = 0.01, episode reward = 49.1, ave reward = 136.0, sim time = 0.232, fit time = 0.0, episode_time = 0.232
episode 2920 of 100000 complete,  explore val = 0.01, episode reward = 204.3, ave reward = 137.3, sim time = 0.314, fit time = 0.0, episode_time = 0.314
episode 2921 of 100000 complete,  explore val = 0.01, episode reward = 142.2, ave reward = 134.9, sim time = 0.265, fit time = 5.199, episode_time = 5.464
episode 2922 of 100000 complete,  explore val = 0.01, episode reward = -166.5, ave reward = 135.8, sim time = 0.275, fit time = 0.0, episode_time = 0.275
episode 2923 of 100000 complete,  explore val = 0.01, episode reward = 143.6, ave reward = 133.0, sim time = 0.252, fit time = 0.0, episode_time = 0.252
episode 2924 of 100000 complete,  explore val = 0.01, episode reward = 68.7, ave reward = 133.5, sim time = 0.209, fit time = 0.001, episode_time = 0.21
episode 2925 of 100000 complete,  explore val = 0.01, episode reward = 178.3, ave reward = 132.5, sim time = 0.338, fit time = 0.0, episode_time = 0.338
episode 2926 of 100000 complete,  explore val = 0.01, episode reward = 270.3, ave reward = 135.0, sim time = 0.339, fit time = 0.0, episode_time = 0.339
episode 2927 of 100000 complete,  explore val = 0.01, episode reward = 247.6, ave reward = 135.9, sim time = 0.319, fit time = 0.0, episode_time = 0.319
episode 2928 of 100000 complete,  explore val = 0.01, episode reward = 128.4, ave reward = 136.4, sim time = 0.266, fit time = 0.0, episode_time = 0.266
episode 2929 of 100000 complete,  explore val = 0.01, episode reward = 196.5, ave reward = 136.8, sim time = 0.296, fit time = 0.0, episode_time = 0.296
episode 2930 of 100000 complete,  explore val = 0.01, episode reward = 111.9, ave reward = 138.0, sim time = 0.32, fit time = 0.0, episode_time = 0.32
episode 2931 of 100000 complete,  explore val = 0.01, episode reward = 257.8, ave reward = 137.9, sim time = 0.354, fit time = 7.349, episode_time = 7.703
